snapshot_date,sota_key,primary_track,task,benchmark,dataset_version,split,modalities,protocol,record_kind,method,year,publication_status,venue,metric,metric_direction,value,unit,secondary_metrics,paper_url,proceedings_url,leaderboard_url,code_url,verification_note,boundary
2026-08-05,nuscenes-camera-detection-ropetr,p01-object-actor-perception,Camera-only 3D object detection,nuScenes Detection,nuScenes v1.0,test,Surround Camera,"camera only; no external data; no HD map; official test server",OfficialLeaderboardSnapshot,RoPETR,2025,LeaderboardSubmission,nuScenes leaderboard,NDS,higher,70.8641,%,mAP=64.7840%,https://arxiv.org/abs/2504.12643,,https://nuscenes.org/object-detection,,Official detection JSON was filtered on 2026-08-05 for camera-only submissions without external data or map use.,Dynamic leaderboard submission; arXiv identity is not an acceptance decision and this repository did not reproduce the score.
2026-08-05,nuscenes-lidar-detection-segt-tta,p01-object-actor-perception,LiDAR-only 3D object detection,nuScenes Detection,nuScenes v1.0,test,LiDAR,"LiDAR only; no external data; no HD map; official test server",OfficialLeaderboardSnapshot,SEGT-TTA,2024,LeaderboardSubmission,nuScenes leaderboard,NDS,higher,74.5338,%,mAP=71.2400%,https://arxiv.org/abs/2412.09658,,https://nuscenes.org/object-detection,,Official detection JSON was filtered on 2026-08-05 for LiDAR-only submissions without external data or map use.,Test-time augmentation and compute are part of this submitted protocol; do not compare it with camera-only or real-time rows.
2026-08-05,nuscenes-tracking-nemot,p01-object-actor-perception,Multi-object tracking,nuScenes Tracking,nuScenes v1.0,test,Surround Camera;LiDAR,"camera plus LiDAR; no external data; no HD map; official test server",OfficialLeaderboardSnapshot,NEMOT,2025,LeaderboardSubmission,nuScenes leaderboard,AMOTA,higher,77.9020,%,AMOTP=0.4361 m,https://arxiv.org/abs/2506.18124,,https://nuscenes.org/tracking,,Official tracking JSON was filtered on 2026-08-05 for camera-plus-LiDAR submissions without external data or map use.,AMOTA aggregates recall thresholds; it does not show per-class identity stability or closed-loop safety and the score was not reproduced here.
2026-08-05,nuscenes-lidarseg-ptv3,p02-dense-scene-geometry,LiDAR semantic segmentation,nuScenes-lidarseg,nuScenes v1.0,test,LiDAR,"LiDAR only; no external data; official lidarseg test server",OfficialLeaderboardSnapshot,Point Transformer V3,2023,LeaderboardSubmission,nuScenes leaderboard,mIoU,higher,82.9871,%,,https://arxiv.org/abs/2312.10035,,https://nuscenes.org/lidar-segmentation,,Official lidarseg JSON was filtered on 2026-08-05 for LiDAR-only submissions without external data.,mIoU averages classes rather than all points; the leaderboard row does not establish robustness to weather or sensor degradation.
2026-08-05,nuscenes-panoptic-ial,p02-dense-scene-geometry,3D panoptic segmentation,nuScenes Panoptic,nuScenes v1.0,test,LiDAR,"LiDAR only; no external data; official panoptic test server",OfficialLeaderboardSnapshot,IAL,2025,LeaderboardSubmission,nuScenes leaderboard,PQ,higher,82.0343,%,,https://arxiv.org/abs/2505.18956,,https://nuscenes.org/panoptic,,Official panoptic JSON was filtered on 2026-08-05 for LiDAR-only submissions without external data.,PQ combines segmentation quality and recognition quality; it is not pixel or point accuracy and this repository did not reproduce it.
2026-08-05,bev-unified-no-single-sota,p03-bev-unified-representation,Unified BEV representation across detection and map tasks,nuScenes multi-task protocols,nuScenes v1.0,val/test,Surround Camera;Vehicle State,"task-specific heads; detector and map protocols differ; backbone and temporal settings must be matched",NoSingleLeaderboard,BEVFormer as a representation anchor,2022,Accepted,ECCV 2022,task-specific NDS / mAP / mIoU,not-applicable,,,,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136690001.pdf,https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/694_ECCV_2022_paper.php,,https://github.com/fundamentalvision/BEVFormer,Official ECCV paper anchors a widely used spatiotemporal BEV representation; current methods evaluate different downstream heads and data regimes.,无单一可比 SOTA：BEV is a representation family rather than one task; detection NDS and map mAP cannot be merged into one ranking.
2026-08-05,openoccupancy-occmamba-gain,p04-occupancy-4d,Semantic occupancy prediction,OpenOccupancy,OpenOccupancy protocol,validation,Surround Camera;LiDAR,"paper Table protocol against Co-Occ; exact backbone and supervision must remain matched",PaperReportedFrontier,OccMamba,2025,Accepted,CVPR 2025,mIoU gain over Co-Occ,higher,4.3,points,IoU gain over Co-Occ=5.1 points,https://openaccess.thecvf.com/content/CVPR2025/papers/Li_OccMamba_Semantic_Occupancy_Prediction_with_State_Space_Models_CVPR_2025_paper.pdf,https://openaccess.thecvf.com/content/CVPR2025/html/Li_OccMamba_Semantic_Occupancy_Prediction_with_State_Space_Models_CVPR_2025_paper.html,,https://github.com/USTCLH/OccMamba,Official CVF abstract reports the controlled OpenOccupancy gain and claims leading results on three occupancy benchmarks.,This is a paper-reported delta rather than a live official leaderboard lead; it cannot be compared with Occ3D camera-only mIoU.
2026-08-05,nuscenes-panoptic-tracking-4dformer,p05-temporal-predictive-perception,4D panoptic tracking,nuScenes Panoptic,nuScenes v1.0,test,LiDAR,"LiDAR only; no external data; official panoptic tracking test server",OfficialLeaderboardSnapshot,4DFormer,2023,LeaderboardSubmission,nuScenes leaderboard,PAT,higher,79.4143,%,PQ=77.9897%;TQ=80.8920%,https://arxiv.org/abs/2311.01520,,https://nuscenes.org/panoptic,,Official panoptic JSON was queried on 2026-08-05 and the PAT row was preserved with its PQ and TQ components.,PAT combines segmentation and temporal association; it does not reveal each class or error type and was not reproduced here.
2026-08-05,nuscenes-prediction-caspformer,p05-temporal-predictive-perception,Motion prediction,nuScenes Prediction,nuScenes v1.0,test,Map;Vehicle State,"official prediction test server; submitted model protocol; metric definitions follow nuScenes",OfficialLeaderboardSnapshot,CASPFormer,2024,LeaderboardSubmission,nuScenes leaderboard,MinADE_5,lower,1.1479,m,MissRateTopK_2_5=0.4783;OffRoadRate=0.0108,https://arxiv.org/abs/2409.17790,,https://nuscenes.org/prediction,,Official prediction JSON was queried on 2026-08-05 and the displayed companion metrics were preserved.,Minimum ADE can reward one good hypothesis among several; it does not by itself establish calibrated probabilities or interactive safety.
2026-08-05,nuscenes-camera-lidar-detection-sparselif,p06-sensors-multimodal-fusion,Camera-LiDAR 3D object detection,nuScenes Detection,nuScenes v1.0,test,Surround Camera;LiDAR,"camera plus LiDAR; no external data; no HD map; official test server",OfficialLeaderboardSnapshot,SparseLIF-e,2024,LeaderboardSubmission,nuScenes leaderboard,NDS,higher,77.6901,%,mAP=75.9384%,https://arxiv.org/abs/2403.07284,,https://nuscenes.org/object-detection,,Official detection JSON was filtered on 2026-08-05 for camera-plus-LiDAR submissions without external data or map use.,This is a dynamic leaderboard submission and not a latency-matched comparison; sensor availability and fusion compute are part of the protocol.
2026-08-05,nuscenes-radar-camera-racformer,p06-sensors-multimodal-fusion,Radar-camera 3D object detection,nuScenes Detection,nuScenes v1.0,test,Surround Camera;Radar,"radar plus camera; paper test protocol; compare only with matched radar-camera inputs",PaperReportedFrontier,RaCFormer,2025,Accepted,CVPR 2025,NDS,higher,70.2,%,mAP=64.9%,https://openaccess.thecvf.com/content/CVPR2025/papers/Chu_RaCFormer_Towards_High-Quality_3D_Object_Detection_via_Query-based_Radar-Camera_Fusion_CVPR_2025_paper.pdf,https://openaccess.thecvf.com/content/CVPR2025/html/Chu_RaCFormer_Towards_High-Quality_3D_Object_Detection_via_Query-based_Radar-Camera_Fusion_CVPR_2025_paper.html,,,Official CVF abstract reports 64.9 mAP and 70.2 NDS on nuScenes and identifies the comparison as radar-camera fusion.,Paper-reported radar-camera frontier; it is not comparable to camera-LiDAR or LiDAR-only leaderboard rows and was not reproduced here.
2026-08-05,online-hdmap-no-single-sota,p07-road-map-localization,Online vectorized HD map construction,nuScenes and Argoverse 2 map protocols,current public versions,validation,Surround Camera;Map,"dataset-specific vector classes and Chamfer/topology thresholds; backbone and training schedule must match",NoSingleLeaderboard,InteractionMap as a recent map anchor,2025,Accepted,CVPR 2025,map mAP / topology metrics,not-applicable,,,,https://openaccess.thecvf.com/content/CVPR2025/papers/Wu_InteractionMap_Improving_Online_Vectorized_HDMap_Construction_with_Interaction_CVPR_2025_paper.pdf,https://openaccess.thecvf.com/content/CVPR2025/html/Wu_InteractionMap_Improving_Online_Vectorized_HDMap_Construction_with_Interaction_CVPR_2025_paper.html,,,Official CVF paper reports leading nuScenes and Argoverse 2 results under its stated configurations.,无单一可比 SOTA：map classes and matching thresholds differ; Chamfer mAP does not establish topology correctness or localization reliability.
2026-08-05,cooperative-robustness-no-single-sota,p08-cooperative-perception,Camera-based collaborative perception under corruption,RCP-Bench,RCP-Bench public protocol,test,Surround Camera;V2X,"corruption type and severity; bandwidth; pose error; latency; matched collaborative backbone",NoSingleLeaderboard,RCP-Bench as a robustness anchor,2025,Accepted,CVPR 2025,AP under corruption / RCE / bandwidth,not-applicable,,,,https://openaccess.thecvf.com/content/CVPR2025/papers/Du_RCP-Bench_Benchmarking_Robustness_for_Collaborative_Perception_Under_Diverse_Corruptions_CVPR_2025_paper.pdf,https://openaccess.thecvf.com/content/CVPR2025/html/Du_RCP-Bench_Benchmarking_Robustness_for_Collaborative_Perception_Under_Diverse_Corruptions_CVPR_2025_paper.html,,,Official CVF paper supplies a multi-axis benchmark rather than one universally dominant method.,无单一可比 SOTA：communication cost and clean/corrupted AP form a Pareto surface; one AP number hides bandwidth and failure robustness.
2026-08-05,trustworthy-perception-no-single-sota,p09-robust-open-trustworthy,Sensor-failure robust LiDAR-camera detection,nuScenes-R,nuScenes-R public protocol,validation,Surround Camera;LiDAR,"failure scenario and severity must match; clean and corrupted performance reported separately",NoSingleLeaderboard,MoME as a sensor-failure anchor,2025,Accepted,CVPR 2025,scenario-wise NDS / mAP degradation,not-applicable,,,,https://openaccess.thecvf.com/content/CVPR2025/papers/Park_Resilient_Sensor_Fusion_Under_Adverse_Sensor_Failures_via_Multi-Modal_Expert_CVPR_2025_paper.pdf,https://openaccess.thecvf.com/content/CVPR2025/html/Park_Resilient_Sensor_Fusion_Under_Adverse_Sensor_Failures_via_Multi-Modal_Expert_CVPR_2025_paper.html,,,Official CVF abstract identifies state-of-the-art nuScenes-R results across several failure scenarios.,无单一可比 SOTA：weather corruption sensor dropout open-set calibration and uncertainty are different protocols; robustness gain is not a safety guarantee.
