taste_key,date,module_name,source_paper,year,venue,publication_status,proceedings_url,paper_url,repo_url,repo_commit,mechanism_family,transfer_targets,note_path,takeaway,main_boundary
motion-aware-layer-normalization,2026-08-03,Motion-Aware Layer Normalization (MLN),Exploring Object-Centric Temporal Modeling for Efficient Multi-View 3D Object Detection,2023,ICCV,Accepted,https://openaccess.thecvf.com/content/ICCV2023/html/Wang_Exploring_Object-Centric_Temporal_Modeling_for_Efficient_Multi-View_3D_Object_Detection_ICCV_2023_paper.html,https://openaccess.thecvf.com/content/ICCV2023/papers/Wang_Exploring_Object-Centric_Temporal_Modeling_for_Efficient_Multi-View_3D_Object_Detection_ICCV_2023_paper.pdf,https://github.com/exiawsh/StreamPETR,95f64702306ccdb7a78889578b2a55b5deb35b2a,Motion-Conditioned Normalization,"Temporal BEV;Object Query Memory;Multi-Modal Tracking;Cooperative Perception",taste/2026/2026-08-03-motion-aware-layer-normalization.md,先做无仿射层归一化，再由姿态、时间和速度生成恒等初始化的逐通道缩放与偏移，以软条件化代替脆弱的显式运动补偿。,证据主要来自 ego pose；时间和速度仅额外贡献约 0.4 点，运动元数据噪声、陈旧记忆或非仿射变化都会让条件化失效。
hmsa,2026-08-02,Heterogeneous Multi-Agent Self-Attention (HMSA),V2X-ViT: Vehicle-to-Everything Cooperative Perception with Vision Transformer,2022,ECCV,Accepted,https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/4589_ECCV_2022_paper.php,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136990106.pdf,https://github.com/DerrickXuNu/v2x-vit,f0e6c13f41e916548b2d8aba61e42a18ce980416,Type-Conditioned Relational Attention,"Multi-Sensor BEV;Cooperative Occupancy;Temporal Memory;Multi-Robot Fusion",taste/2026/2026-08-02-hmsa.md,让节点类型决定 Q/K/V、让有向边类型决定注意力与消息变换，在同坐标格内显式建模异构来源关系。,它依赖可靠坐标对齐与正确类型，节点对计算随 M² 增长；二值角色无法表示同类传感器质量差异，也没有真实 V2X 证据。
multi-scale-deformable-attention,2026-07-29,Multi-Scale Deformable Attention,Deformable DETR: Deformable Transformers for End-to-End Object Detection,2021,ICLR,Accepted,https://openreview.net/forum?id=gZ9hCDWe6ke,https://arxiv.org/pdf/2010.04159,https://github.com/fundamentalvision/Deformable-DETR,11169a60c33333af00a4849f1808023eba96a931,Sparse Attention,BEV Query;Temporal Memory;Multi-Modal Fusion;Sparse 3D Query,taste/2026/2026-07-29-multi-scale-deformable-attention.md,把每个 query 的算力集中到参考点附近少量可学习采样位置，在多尺度特征上以稀疏取证替代全图扫描。,它依赖有意义的参考点、坐标归一化和定制采样算子；训练更快不等于推理更快，也不能保证不漏掉参考点之外的证据。
depth-aware-ray-sampling,2026-08-04,Depth-Aware Ray Sampling,UniPAD: A Universal Pre-training Paradigm for Autonomous Driving,2024,CVPR,Accepted,https://openaccess.thecvf.com/content/CVPR2024/html/Yang_UniPAD_A_Universal_Pre-training_Paradigm_for_Autonomous_Driving_CVPR_2024_paper.html,https://openaccess.thecvf.com/content/CVPR2024/papers/Yang_UniPAD_A_Universal_Pre-training_Paradigm_for_Autonomous_Driving_CVPR_2024_paper.pdf,https://github.com/Nightmare-n/UniPAD,3d24add15f887a4c5b7b54cb3a6b4a812c24ca52,Geometry-Guided Supervision Sampling,"Camera Self-Supervised Pre-training;BEV Feature Learning;Multi-Modal Representation Learning;Neural Rendering",taste/2026/2026-08-04-depth-aware-ray-sampling.md,在固定昂贵预算下优先采样可同时获得观测与稀缺几何真值的位置，并保留探索配额约束辅助传感器选择偏差。,LiDAR 稀疏、失配或存在系统性盲区时会欠采样关键语义；模块证据只有 nuScenes 单次小幅消融。
image-guided-query-initialization,2026-08-05,Image-Guided Query Initialization,TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2022,CVPR,Accepted,https://openaccess.thecvf.com/content/CVPR2022/html/Bai_TransFusion_Robust_LiDAR-Camera_Fusion_for_3D_Object_Detection_With_Transformers_CVPR_2022_paper.html,https://openaccess.thecvf.com/content/CVPR2022/papers/Bai_TransFusion_Robust_LiDAR-Camera_Fusion_for_3D_Object_Detection_With_Transformers_CVPR_2022_paper.pdf,https://github.com/XuyangBai/TransFusion,73c596f7bd3460c17cbcc58dd9bcc5a0896774a8,Cross-Modal Proposal Prior,"Sparse-BEV Query Detection;Radar-Camera Fusion;Cooperative BEV;Open-World Proposal Recall",taste/2026/2026-08-05-image-guided-query-initialization.md,让辅助模态只预测同坐标候选热力图并以 stop-gradient 参与 top-K，主 query 内容仍来自可靠模态，便于隔离错误与回滚。,等权 prior 依赖固定视图和分数标度；Table 7 只有 0.8-1.6 mAP 边际且时延明显增加，未验证真实缺模态或跨 rig。
two-stage-clip-head-alignment,2026-08-06,Two-Stage CLIP Detection-Head Alignment,Benchmarking and Improving Bird’s Eye View Perception Robustness in Autonomous Driving,2025,IEEE TPAMI,Accepted,https://ieeexplore.ieee.org/document/10857618,https://arxiv.org/pdf/2405.17426,https://github.com/worldbench/RoboBEV,3a32edaba9434dc27791bd25a1168951d091bd89,Staged Foundation-Model Adaptation,"Robust BEV Detection;Multi-Modal BEV;Open-World Perception;Domain-Shift Adaptation",taste/2026/2026-08-06-two-stage-clip-head-alignment.md,先冻结 CLIP 让随机检测头学会读取预训练表示，再解冻联合微调；迁移关键是分阶段钉死梯度所有权与匹配总训练预算。,固定源码未公开两阶段 trainer/checkpoint；若训练见过 benchmark corruption、backbone 缺三维几何或匹配预算后增益消失，该策略不成立。
dynamic-prior-latent-replacement,2026-08-07,Dynamic-Prior Latent Replacement,Vista: A Generalizable Driving World Model with High Fidelity and Versatile Controllability,2024,NeurIPS,Accepted,https://proceedings.neurips.cc/paper_files/paper/2024/hash/a6a066fb44f2fe0d36cf740c873b8890-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/a6a066fb44f2fe0d36cf740c873b8890-Paper-Conference.pdf,https://github.com/OpenDriveLab/Vista,cc9821b4253ca7987c32757613d2fc2448fa9f5d,History Injection in Latent Diffusion,"Streaming BEV;Occupancy Forecasting;Video World Models;Temporal Query Memory",taste/2026/2026-08-07-dynamic-prior-latent-replacement.md,把少量历史状态写成不可再预测的干净槽位并只监督未来；迁移关键是明确 read/write/reset 与训练—推理历史身份。,历史错位或 scene reset 泄漏会把错误硬写成事实；Table 3 只控制 prior 数量并未证明 replacement 优于 concat/attention。
alpha-weighted-median-range,2026-08-08,Alpha-Weighted Median LiDAR Range Readout,SplatAD: Real-Time Lidar and Camera Rendering with 3D Gaussian Splatting for Autonomous Driving,2025,CVPR,Accepted,https://openaccess.thecvf.com/content/CVPR2025/html/Hess_SplatAD_Real-Time_Lidar_and_Camera_Rendering_with_3D_Gaussian_Splatting_for_Autonomous_Driving_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Hess_SplatAD_Real-Time_Lidar_and_Camera_Rendering_with_3D_Gaussian_Splatting_CVPR_2025_paper.pdf,https://github.com/georghess/neurad-studio,c24765e3c37164db187119a224f3b9b83914f4bb,Occlusion-Aware Quantile Readout,"Neural Sensor Simulation;Occupancy Ray Rendering;Neural Surface Reconstruction;LiDAR World Models",taste/2026/2026-08-08-alpha-weighted-median-range.md,累计遮挡过半即选择真实排序表面，避免期望距离把前后表面平均到空气中；先以纯读出 A/B 试验核验再改训练。,alpha 未校准、薄目标或累计 opacity 不过半时会选错或 fallback；证据仅是 30 段日志平均，未验证下游感知。
probabilistic-union-geometry-readout,2026-08-13,Probabilistic Union Geometry Readout,GaussianFormer-2: Probabilistic Gaussian Superposition for Efficient 3D Occupancy Prediction,2025,CVPR,Accepted,https://openaccess.thecvf.com/content/CVPR2025/html/Huang_GaussianFormer-2_Probabilistic_Gaussian_Superposition_for_Efficient_3D_Occupancy_Prediction_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Huang_GaussianFormer-2_Probabilistic_Gaussian_Superposition_for_Efficient_3D_Occupancy_Prediction_CVPR_2025_paper.pdf,https://github.com/huang-yh/GaussianFormer,b7e22bfc04cd6360cdee74be5af7fdace102f0a3,Bounded Probabilistic Set Aggregation,"Sparse Occupancy;Gaussian Scene Completion;Multi-Sensor Existence Fusion;Map-Free Free-Space Estimation",taste/2026/2026-08-13-probabilistic-union-geometry-readout.md,多个局部原语表达同一存在事件时用有界并集聚合几何并独立归一化语义；先匹配预算测试校准和相关重复。,局部值不似概率或原语高度相关时会过度自信并饱和梯度；完整读出消融不能把全部增益归给单一 noisy-OR。
virtual-camera-canonicalization,2026-08-14,Virtual Camera Canonicalization Preprocessor,UniDrive: Towards Universal Driving Perception Across Camera Configurations,2025,ICLR,Accepted,https://proceedings.iclr.cc/paper_files/paper/2025/hash/41badd36e935f8a80175e95d8bc6192e-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/41badd36e935f8a80175e95d8bc6192e-Paper-Conference.pdf,https://github.com/ywyeli/UniDrive,c73f887d792fbab27d8275e85839e959b4c24f3c,Geometry-First Input Canonicalization,"Cross-Rig BEV;Map Perception;Multi-Camera Occupancy;Calibration-Robust Detection",taste/2026/2026-08-14-virtual-camera-projection.md,已知几何 nuisance 时先统一输入合同再复用下游网络；迁移时必须显式携带覆盖 mask 并与 camera-aware conditioning 匹配比较。,代理表面、错误标定、缺 FOV、遮挡冲突和重采样开销会失效；原文没有核心投影实现或单组件消融。
