snapshot_date,candidate_key,source_domain,method,source_year,source_venue,source_status,source_proceedings_url,paper_url,repo_url,repo_commit,license,source_task,source_evidence,ad_target_track,ad_target_task,transfer_interface,adaptation_hypothesis,query_problem,query_mechanism,query_synonym,search_sources,closest_works,coverage_verdict,collision_level,highlight,priority_score,next_refresh,minimum_test,rollback_baseline,falsifier,main_failure,public_boundary
2026-08-05,eomt-encoder-only-3d-occupancy,2D semantic and panoptic segmentation,EoMT encoder-only mask transformer,2025,CVPR 2025 Highlight,Accepted,https://openaccess.thecvf.com/content/CVPR2025/html/Kerssies_Your_ViT_is_Secretly_an_Image_Segmentation_Model_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Kerssies_Your_ViT_is_Secretly_an_Image_Segmentation_Model_CVPR_2025_paper.pdf,https://github.com/tue-mps/eomt,7bd19ddd621c5c6adedcd260458a34783cd4a45f,MIT,Image semantic instance and panoptic segmentation,"The official CVF paper reports similar state-of-the-art accuracy with a ViT-only encoder design and up to four-times faster prediction for ViT-L.",p04-occupancy-4d,Camera-based 3D semantic occupancy,"Replace the dedicated 3D occupancy decoder with interleaved voxel or tri-plane tokens and mask queries updated inside one shared encoder; keep the view lift and occupancy head as controlled interfaces.","Test whether decoder removal and joint token-query refinement preserve thin structures while reducing latency; this is a narrow 3D adaptation hypothesis rather than generic mask-query transfer.",encoder-only mask transformer 3D occupancy autonomous driving,plain transformer segmentation queries BEV semantic occupancy,EoMT point cloud 3D segmentation,"CVF proceedings checked 2026-08-05;;arXiv checked 2026-08-05;;Semantic Scholar checked 2026-08-05;;Crossref checked 2026-08-05;;official GitHub checked 2026-08-05","OccFormer|https://openaccess.thecvf.com/content/ICCV2023/html/Zhang_OccFormer_Dual-path_Transformer_for_Vision-based_3D_Semantic_Occupancy_Prediction_ICCV_2023_paper.html;;TPVFormer|https://openaccess.thecvf.com/content/CVPR2023/html/Huang_Tri-Perspective_View_for_Vision-Based_3D_Semantic_Occupancy_Prediction_CVPR_2023_paper.html;;COTR|https://openaccess.thecvf.com/content/CVPR2024/html/Ma_COTR_Compact_Occupancy_TRansformer_for_Vision-based_3D_Occupancy_Prediction_CVPR_2024_paper.html",[本次检索未找到直接覆盖],Level 3 - medium overlap,yes,8.6,2026-09-04,"On one Occ3D validation protocol replace only the decoder; match backbone pretraining resolution schedule and supervision; report mIoU latency peak memory and thin-class IoU over three seeds.",The unchanged public occupancy baseline with its original decoder and the same backbone checkpoint.,"Remove the decoder change or restore the original decoder; if matched accuracy-efficiency Pareto does not improve or thin-object IoU degrades beyond the preset tolerance the transfer claim fails.",Dense 3D token count can erase the 2D speed advantage and joint refinement may merge small or occluded structures.,"截至日期，在列明范围内本次未找到直接覆盖：只指在共享编码器内联合更新 3D occupancy tokens 与 mask queries 并移除专用 decoder 的窄组合；已有 3D mask-query 与 occupancy Transformer 工作不属于空白。"
2026-08-05,dfine-distributional-3d-boxes,Real-time 2D object detection,D-FINE fine-grained distribution refinement,2025,ICLR 2025 Spotlight,Accepted,https://openreview.net/forum?id=MFZjrTFE7h,https://openreview.net/pdf?id=MFZjrTFE7h,https://github.com/Peterande/D-FINE,7fe2f8889f0b7b817f20c315b40fc15a4fb64ae6,Apache-2.0,Real-time DETR object detection,"The official ICLR paper reports D-FINE-L and D-FINE-X at 54.0 and 55.8 COCO AP with 124 and 78 FPS on T4; Objects365 pre-training raises them to 57.1 and 59.3 AP.",p01-object-actor-perception,Query-based 3D object detection,"Replace direct continuous updates for center dimensions yaw and velocity with decoder-layer probability distributions; use cyclic bins or a circular distribution for yaw and preserve the detector matcher and backbone.","Test whether coarse-to-fine distributions and layer-wise localization self-distillation improve hard 3D localization without breaking yaw periodicity or uncertainty calibration.",D-FINE 3D object detection autonomous driving,fine-grained distribution refinement 3D bounding box detection,distribution refinement 3D object detection DETR,"OpenReview decision and paper checked 2026-08-05;;CVF proceedings checked 2026-08-05;;arXiv checked 2026-08-05;;Semantic Scholar checked 2026-08-05;;official GitHub checked 2026-08-05","RACE-6D|https://openaccess.thecvf.com/content/CVPR2026F/html/Ha_RACE-6D_Real-time_Accurate_Coarse-to-finE_Object_6D_Pose_Transformer_CVPRF_2026_paper.html;;FocalFormer3D|https://openaccess.thecvf.com/content/ICCV2023/html/Chen_FocalFormer3D_Focusing_on_Hard_Instance_for_3D_Object_Detection_ICCV_2023_paper.html;;MonoDETR|https://openaccess.thecvf.com/content/ICCV2023/html/Zhang_MonoDETR_Depth-guided_Transformer_for_Monocular_3D_Object_Detection_ICCV_2023_paper.html",[本次检索未找到直接覆盖],Level 3 - medium overlap,yes,8.3,2026-09-04,"On one public nuScenes validation detector change only the box refinement head; separately ablate center size yaw and velocity distributions; report NDS mAP mAOE mATE latency memory and calibration over three seeds.",The same detector with its original continuous regression head and matching loss weights.,"If gains disappear when compute and decoder depth are matched or if mAOE calibration and small-object recall worsen beyond the declared tolerance the adaptation is rejected.",3D parameter coupling and yaw periodicity can make independent bins inconsistent while dense distributions increase memory.,"截至日期，在列明范围内本次未找到直接覆盖：只指把 D-FINE 式逐层分布细化与自蒸馏用于自动驾驶 3D center size yaw velocity；RACE-6D 已覆盖分布式深度细化，故不能声称把该机制迁到所有 3D 任务都是新方向。"
2026-08-05,xlstm-streaming-bev-memory,Sequence modeling,xLSTM matrix memory,2024,NeurIPS 2024,Accepted,https://proceedings.neurips.cc/paper_files/paper/2024/hash/c2ce2f2701c10a2b2f2ea0bfa43cfaa3-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/c2ce2f2701c10a2b2f2ea0bfa43cfaa3-Paper-Conference.pdf,https://github.com/NX-AI/xlstm,f539ba80770ba2b9acd5bf4c1e0f0d4827494184,Apache-2.0,Long-context sequence modeling,"The official NeurIPS paper introduces exponential gating plus scalar and matrix memories and reports favorable scaling against Transformers and state-space models; matrix memory is parallelizable during training.",p05-temporal-predictive-perception,Streaming BEV or object-query perception memory,"Insert mLSTM as prediction-relevant state after ego-motion alignment of BEV or object queries; define explicit per-scene read write reset detach and sequence-slot rules while leaving the spatial encoder and heads unchanged.","Test whether matrix-valued memory stores multiple motion and occlusion modes better than a single previous-BEV buffer without creating train-test state leakage.",xLSTM autonomous driving perception BEV occupancy tracking,extended LSTM 3D object detection autonomous driving,xLSTM temporal point cloud 3D perception,"NeurIPS proceedings checked 2026-08-05;;ICLR proceedings checked 2026-08-05;;arXiv checked 2026-08-05;;Semantic Scholar checked 2026-08-05;;Google Research publication page checked 2026-08-05","Sparse LSTM temporal 3D detection|https://research.google/pubs/an-lstm-approach-to-temporal-3d-object-detection-in-lidar-point-clouds/;;X-TRACK|https://arxiv.org/abs/2511.00266;;Vision-LSTM|https://proceedings.iclr.cc/paper_files/paper/2025/hash/3b6eaef68473fe46bc4197a6b4460042-Abstract-Conference.html",[本次检索未找到直接覆盖],Level 3 - medium overlap,yes,8.0,2026-09-04,"Replace only the temporal memory in a streaming nuScenes detector; audit shuffled scene slots reset and detach; compare one-frame previous-BEV ConvGRU and mLSTM at matched state bytes over three seeds and corruption runs.",The public streaming model with its original previous-BEV or gated recurrent memory and identical spatial encoder.,"The hypothesis fails if matched-memory NDS tracking stability or occlusion recovery does not improve or if reset contamination and latency exceed the preset budget.",Matrix memory can be expensive and numerically unstable; stale scene state or mismatched reset rules can silently contaminate predictions.,"截至日期，在列明范围内本次未找到直接覆盖：只指带严格 read write reset detach 审计的 xLSTM matrix memory 用于流式 BEV 或 object-query 感知；传统 LSTM 3D 检测与 xLSTM 轨迹预测已经存在。"
2026-08-05,featup-driving-bev-collision,Foundation-feature upsampling,FeatUp,2024,ICLR 2024,Accepted,https://proceedings.iclr.cc/paper_files/paper/2024/hash/c5601d99ed028448f29d1dae2e4a926d-Abstract-Conference.html,https://openreview.net/pdf?id=GkJiNn2QDF,https://github.com/mhamilton723/FeatUp,6b5a6c0e91f75e69194807128dcbc39c3084a30d,MIT,Dense upsampling of low-resolution foundation features,"FeatUp learns high-resolution features that preserve the semantics of a low-resolution foundation backbone and reports improvements across dense tasks.",p03-bev-unified-representation,High-resolution BEV feature lifting,"Use feature upsampling before view lifting or BEV fusion while preserving the base foundation encoder.","The generic interface looks attractive but a direct autonomous-driving BEV study already evaluates FeatUp and develops a stronger task-specific alternative.",foundation feature upsampling autonomous driving BEV,FeatUp BEV segmentation multi-view driving,high resolution DINO features bird eye view,"ICLR proceedings checked 2026-08-05;;OpenReview checked 2026-08-05;;official JAFAR project checked 2026-08-05;;CVF proceedings checked 2026-08-05","JAFAR|https://valeoai.github.io/publications/jafar/;;MET3R|https://openaccess.thecvf.com/content/CVPR2025/html/Asim_MET3R_Measuring_Multi-View_Consistency_in_Generated_Images_CVPR_2025_paper.html",[已覆盖],Level 1 - direct task coverage,no,4.0,2026-09-04,"Reproduce the JAFAR matched BEV segmentation table before proposing any new upsampler variant.",The low-resolution public BEV backbone without learned feature upsampling.,"Any proposed delta must beat the published FeatUp and JAFAR controls at matched resolution and compute; otherwise no opportunity remains.",Upsampled semantics can look sharper without improving metric geometry and can add large dense-feature memory.,Direct BEV evaluation exists in JAFAR so FeatUp is retained only as a collision record and is not highlighted as an unused transfer.
2026-08-05,pitome-3d-token-collision,Efficient Transformers and graph coarsening,PiToMe,2024,NeurIPS 2024,Accepted,https://proceedings.neurips.cc/paper_files/paper/2024/hash/37094fdc81632915a5738293cf9b7ad4-Abstract-Conference.html,https://arxiv.org/abs/2405.16148,https://github.com/hchautran/PiToMe,550b5deed94aadfeac28bfbe381d87e672044a40,CC-BY-NC-4.0 repository license,Training-free spectrum-preserving token merging,"The official paper reports 40-60 percent FLOPs savings with about 0.3-0.5 point average drops on selected vision-language and classification settings under its protocols.",p13-data-generation-evaluation-deployment,Efficient point cloud and multi-view 3D perception,"Merge redundant spatial tokens while attempting to preserve small isolated structures and graph spectrum.","The broad transfer is already covered by point-cloud and autonomous-driving token compression work; only a narrower calibration and motion-aware variant might remain and needs a new collision audit.",PiToMe point cloud autonomous driving token merging,spectrum preserving token merging 3D perception,token merging multi-view 3D detector BEV,"NeurIPS proceedings checked 2026-08-05;;arXiv checked 2026-08-05;;Semantic Scholar checked 2026-08-05;;CVF and official project pages checked 2026-08-05","GitMerge3D|https://arxiv.org/abs/2511.05449;;ToC3D|https://arxiv.org/abs/2409.00633;;PiToMe source paper|https://proceedings.neurips.cc/paper_files/paper/2024/hash/37094fdc81632915a5738293cf9b7ad4-Abstract-Conference.html",[部分覆盖],Level 2 - high overlap,no,5.1,2026-09-04,"First reproduce token-count accuracy and latency curves from GitMerge3D and ToC3D on one public backbone before defining a narrower variant.",The uncompressed backbone plus published ToC3D and generic PiToMe controls.,"If a geometry-aware delta cannot outperform existing merging controls at matched token count wall-clock latency and small-object metrics the remaining opportunity is rejected.",Merging can destroy rare small actors or cross-view geometry; the repository license is non-commercial and requires legal review.,Point-cloud PiToMe adaptation and driving token compression are already public; the radar therefore records only partial remaining scope and does not highlight it.
2026-08-05,diffusion-forcing-driving-collision,Generative sequence modeling,Diffusion Forcing,2024,NeurIPS 2024,Accepted,https://proceedings.neurips.cc/paper_files/paper/2024/hash/2aee1c4159e48407d68fe16ae8e6e49e-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/2aee1c4159e48407d68fe16ae8e6e49e-Paper-Conference.pdf,https://github.com/buoyancy99/diffusion-forcing,475e0bcab87545e48b24b39fb46a81fe59d80594,MIT,Per-token-noise sequence generation and planning,"The official NeurIPS paper trains sequences with independently sampled noise levels and evaluates flexible-horizon generation planning and decision-making.",p12-world-models-generative-4d,Action-conditioned driving world modeling,"Apply independent per-time noise schedules to long driving rollouts to bridge causal next-step prediction and full-sequence denoising.","The transfer is no longer an open opportunity because a public driving world model explicitly uses Diffusion Forcing pre-training.",Diffusion Forcing autonomous driving world model,per-token diffusion noise driving video rollout,full-sequence diffusion BEV occupancy forecasting,"NeurIPS proceedings checked 2026-08-05;;arXiv checked 2026-08-05;;official Orbis 2 project checked 2026-08-05;;CVF proceedings checked 2026-08-05","Orbis 2|https://lmb-freiburg.github.io/orbis2.github.io/;;Diffusion Forcing source paper|https://proceedings.neurips.cc/paper_files/paper/2024/hash/2aee1c4159e48407d68fe16ae8e6e49e-Abstract-Conference.html",[已覆盖],Level 1 - direct mechanism coverage,no,3.5,2026-09-04,"Treat Orbis 2 as the direct prior and reproduce its stated Diffusion Forcing contribution before proposing a distinct mechanism.",A matched autoregressive or standard video-diffusion driving world model.,"A new claim must isolate a mechanism not already present in Orbis 2; merely changing the backbone or dataset does not pass.",Long rollout quality can improve visually while geometry action consistency and rare-event calibration remain poor.,Orbis 2 publicly states Diffusion Forcing pre-training in a driving world model so this mechanism is recorded as covered rather than advertised as unused.
2026-08-06,flyp-bev-robustness-collision,Vision-language model robust fine-tuning,FLYP,2023,CVPR 2023,Accepted,https://openaccess.thecvf.com/content/CVPR2023/html/Goyal_Finetune_Like_You_Pretrain_Improved_Finetuning_of_Zero-Shot_Vision_Models_CVPR_2023_paper.html,https://openaccess.thecvf.com/content/CVPR2023/papers/Goyal_Finetune_Like_You_Pretrain_Improved_Finetuning_of_Zero-Shot_Vision_Models_CVPR_2023_paper.pdf,https://github.com/locuslab/FLYP,215d5bb6feeda6675f60e5818abcb4f6465c83af,MIT,Contrastive fine-tuning that mimics image-text pretraining,"The official CVPR paper reports 4.2 percent average OOD gains over standard fine-tuning across seven distribution-shift datasets and gains up to 4.6 percent on three few-shot benchmarks under its source protocols.",p09-robust-open-trustworthy,Robust adaptation of CLIP image backbones for BEV perception,"Retain the CLIP contrastive image-text objective while adapting the image backbone and a BEV task interface; compare against direct fine-tuning staged head alignment and WiSE-FT.","The broad transfer is already directly covered by RoboBEV's CLIP head-alignment study and generic robust fine-tuning methods; FLYP is a source-domain control that requires text prompts and is not an unused driving opportunity.",CLIP fine-tuning loses OOD robustness in BEV perception,contrastive fine-tuning frozen backbone head alignment robust adaptation,foundation vision encoder staged adaptation autonomous driving corruption,"CVF proceedings checked 2026-08-06;;OpenReview and arXiv checked 2026-08-06;;OpenAlex and Semantic Scholar style indexes checked 2026-08-06;;official RoboBEV FLYP and WiSE-FT repositories checked 2026-08-06","RoboBEV|https://ieeexplore.ieee.org/document/10857618;;FLYP|https://openaccess.thecvf.com/content/CVPR2023/html/Goyal_Finetune_Like_You_Pretrain_Improved_Finetuning_of_Zero-Shot_Vision_Models_CVPR_2023_paper.html;;GRACE|https://openaccess.thecvf.com/content/CVPR2026/html/Chopra_The_Geometry_of_Robustness_Optimizing_Loss_Landscape_Curvature_and_Feature_CVPR_2026_paper.html;;WiSE-FT|https://openaccess.thecvf.com/content/CVPR2022/html/Wortsman_Robust_Fine-Tuning_of_Zero-Shot_Models_CVPR_2022_paper.html",[已覆盖],Level 1 - direct target coverage,no,3.8,2026-09-05,"Reproduce RoboBEV direct fine-tuning and head-alignment rows then add FLYP at matched CLIP checkpoint data steps and inference cost.",The same BEV detector with its original backbone plus direct CLIP end-to-end fine-tuning RoboBEV head alignment and WiSE-FT.,"If FLYP does not improve unseen-corruption absolute NDS calibration or long-tail metrics over matched direct staged and interpolation controls it is retained only as a negative control.",Contrastive prompts may not encode metric 3D geometry and the text branch can add training cost without improving BEV localization.,RoboBEV already transfers robust CLIP adaptation to BEV and generic robust fine-tuning is mature; this record is a collision and rollback baseline not a highlighted opportunity.
2026-08-07,teacache-driving-world-model-collision,Video diffusion inference systems,TeaCache,2025,CVPR 2025,Accepted,https://openaccess.thecvf.com/content/CVPR2025/html/Liu_Timestep_Embedding_Tells_Its_Time_to_Cache_for_Video_Diffusion_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Liu_Timestep_Embedding_Tells_Its_Time_to_Cache_for_Video_Diffusion_CVPR_2025_paper.pdf,https://github.com/ali-vilab/TeaCache,7c10efc4702c6b619f47805f7abe4a7a08085aa0,Apache-2.0,Training-free denoising-step caching for video diffusion,"The official CVPR paper reports up to 4.41x acceleration on Open-Sora-Plan with a 0.07 percent VBench decrease under its source protocol.",p12-world-models-generative-4d,Accelerating action-conditioned driving video world models,"Insert timestep-embedding-aware cache decisions around repeated UNet or DiT block outputs while keeping action and history conditioning unchanged.","Cache only when modulated input differences stay below a calibrated threshold and force recomputation near action changes dynamic actors or rollout boundaries; compare quality and state drift at matched hardware.",driving diffusion world model inference latency and deployment cost,timestep embedding aware cache autonomous driving video denoising,feature reuse fast sampling action conditioned long horizon world model,"CVF proceedings checked 2026-08-07;;arXiv and web indexes checked 2026-08-07;;OpenAlex/Crossref style indexes partially timed out 2026-08-07;;official TeaCache and Vista repositories checked 2026-08-07;;AAAI and CVPR proceedings checked 2026-08-07","TeaCache|https://openaccess.thecvf.com/content/CVPR2025/html/Liu_Timestep_Embedding_Tells_Its_Time_to_Cache_for_Video_Diffusion_CVPR_2025_paper.html;;ARCache|https://openaccess.thecvf.com/content/CVPR2026/papers/Nan_Accelerating_Autoregressive_Video_Diffusion_via_History-Guided_Cache_and_Residual_Correction_CVPR_2026_paper.pdf;;Fine-flow Driving World Model|https://ojs.aaai.org/index.php/AAAI/article/view/39860;;Vista|https://proceedings.neurips.cc/paper_files/paper/2024/hash/a6a066fb44f2fe0d36cf740c873b8890-Abstract-Conference.html;;Epona|https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_Epona_Autoregressive_Diffusion_World_Model_for_Autonomous_Driving_ICCV_2025_paper.pdf",[部分覆盖],Level 2 - high overlap,no,5.4,2026-09-06,"On one fixed Vista-like checkpoint compare no cache uniform cache TeaCache and reduced-step sampling on the same GPU across ordinary clips action switches and multi-round rollouts; report latency memory FVD trajectory difference dynamic-object error and state drift over three seeds.",The unmodified full-step sampler plus a simple fixed-interval cache and a matched reduced-step sampler.,"If TeaCache does not improve wall-clock at matched quality or if action compliance dynamic actors or cross-clip state drift exceed preset tolerances retain it only as a negative control.","Global cache thresholds can treat static background as permission to reuse features while missing small fast actors or action changes; rollout errors can accumulate and Vista is UNet-based while much source evidence is DiT-based.","Video diffusion caching and driving-world-model acceleration are both public; this row records partial overlap only. The remaining test is action- and state-aware caching under a fixed driving protocol not an unused broad opportunity."
2026-08-08,mip-splatting-driving-simulation-collision,Graphics and neural rendering,Mip-Splatting,2024,CVPR 2024,Accepted,https://openaccess.thecvf.com/content/CVPR2024/html/Yu_Mip-Splatting_Alias-free_3D_Gaussian_Splatting_CVPR_2024_paper.html,https://openaccess.thecvf.com/content/CVPR2024/papers/Yu_Mip-Splatting_Alias-free_3D_Gaussian_Splatting_CVPR_2024_paper.pdf,https://github.com/autonomousvision/mip-splatting,dda02ab5ecf45d6edb8c540d9bb65c7e451345a9,Inria research-only non-commercial,Alias-free 3D Gaussian rendering across sampling rates,"The official CVPR paper introduces a 3D smoothing filter and a 2D Mip filter and validates them under single-scale training and multi-scale testing source protocols.",p13-data-generation-evaluation-deployment,Alias-aware camera rendering in joint driving sensor simulation,"Replace screen-space dilation with scale-aware Gaussian filtering inside the camera rasterizer while leaving the LiDAR sampling contract explicit and separately controlled.","The broad transfer is already directly covered because SplatAD states that Eq. 5 uses the Mip-Splatting EWA formulation and Table 5 removes EWA antialiasing as a controlled row.",driving Gaussian sensor simulation aliasing under camera distance and focal changes,Mip filter EWA Gaussian splatting autonomous driving renderer,scale-aware splatting novel-view driving simulation thin structures,"CVF proceedings checked 2026-08-08;;arXiv and Crossref/OpenAlex/Semantic Scholar style indexes checked 2026-08-08;;official Mip-Splatting and SplatAD repositories checked 2026-08-08;;ECVA and CVF urban Gaussian papers checked 2026-08-08","Mip-Splatting|https://openaccess.thecvf.com/content/CVPR2024/html/Yu_Mip-Splatting_Alias-free_3D_Gaussian_Splatting_CVPR_2024_paper.html;;SplatAD|https://openaccess.thecvf.com/content/CVPR2025/html/Hess_SplatAD_Real-Time_Lidar_and_Camera_Rendering_with_3D_Gaussian_Splatting_for_Autonomous_Driving_CVPR_2025_paper.html;;DrivingGaussian|https://openaccess.thecvf.com/content/CVPR2024/html/Zhou_DrivingGaussian_Composite_Gaussian_Splatting_for_Surrounding_Dynamic_Autonomous_Driving_Scenes_CVPR_2024_paper.html;;Street Gaussians|https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/09243.pdf;;VEGS|https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/7159_ECCV_2024_paper.php",[已覆盖],Level 1 - direct mechanism coverage,no,3.4,2026-09-07,"Reproduce SplatAD Table 5 full and no-EWA rows at the same fixed checkpoint recipe then stratify camera quality LiDAR CD thin structures and throughput before proposing any distinct filter.",The fixed SplatAD no-EWA ablation plus original 3DGS screen-space dilation.,"Any new claim must isolate a filtering or sensor-coupling mechanism not already implemented by SplatAD; simply adding Mip-Splatting to a driving renderer is rejected.","Scale-aware filtering can improve image LPIPS while worsening or not improving LiDAR CD and the source repository license prohibits commercial use without consent.","SplatAD already transfers the Mip-Splatting EWA mechanism and publishes an ablation so this row is a direct collision and legal-risk reminder not a highlighted opportunity."
2026-08-13,mambavision-occupancy-backbone-collision,2D and high-resolution visual representation,MambaVision hybrid Mamba-Transformer backbone,2025,CVPR 2025,Accepted,https://openaccess.thecvf.com/content/CVPR2025/html/Hatamizadeh_MambaVision_A_Hybrid_Mamba-Transformer_Vision_Backbone_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Hatamizadeh_MambaVision_A_Hybrid_Mamba-Transformer_Vision_Backbone_CVPR_2025_paper.pdf,https://github.com/NVlabs/MambaVision,7860a506b2eb844eaaae676f08461ce8c3c26f43,NVIDIA Source Code License-NC; weights CC-BY-NC-SA-4.0,General-purpose image classification detection and segmentation backbone,"The official CVF paper reports a favorable ImageNet accuracy-throughput Pareto and stronger downstream detection and segmentation than comparably sized source-domain backbones; these results do not establish 3D occupancy gains.",p04-occupancy-4d,Camera-based 3D semantic occupancy,"Replace only the image backbone before view lifting or Gaussian initialization; preserve the 3D encoder head data and training budget.","The broad Mamba or state-space transfer to occupancy is already covered by OccMamba MambaOcc and MARS; MambaVision is therefore a source-backbone control rather than an unclaimed driving opportunity.",efficient visual backbone 3D occupancy autonomous driving,MambaVision hybrid Mamba Transformer occupancy prediction,visual state space model BEV occupancy autonomous driving,"CVF proceedings checked 2026-08-13;;OpenReview and arXiv checked 2026-08-13;;ScienceDirect checked 2026-08-13;;Semantic Scholar style index checked 2026-08-13;;official MambaVision and occupancy repositories checked 2026-08-13","MambaVision|https://openaccess.thecvf.com/content/CVPR2025/html/Hatamizadeh_MambaVision_A_Hybrid_Mamba-Transformer_Vision_Backbone_CVPR_2025_paper.html;;OccMamba|https://openaccess.thecvf.com/content/CVPR2025/html/Li_OccMamba_Semantic_Occupancy_Prediction_with_State_Space_Models_CVPR_2025_paper.html;;MambaOcc|https://www.sciencedirect.com/science/article/pii/S0957417426002186;;MARS|https://openreview.net/forum?id=0aAfZ4tfPj",[已覆盖],Level 1 - direct target coverage,no,3.8,2026-09-12,"First reproduce an OccMamba or MambaOcc matched backbone row; then replace only the image backbone with MambaVision at matched pretraining resolution schedule steps and inference budget and report mIoU class IoU calibration latency memory and three seeds.",The unchanged public occupancy baseline plus its published OccMamba or MambaOcc state-space backbone control.,"If MambaVision cannot improve the matched accuracy-efficiency Pareto or thin and rare class IoU then it remains only a source-domain baseline and no transfer claim survives.","Two-dimensional throughput may disappear after multi-view lifting and dense 3D decoding; non-commercial source and weight licenses also block unreviewed deployment.","OccMamba MambaOcc and MARS already transfer state-space or Mamba mechanisms to occupancy; this record is a direct collision and source-backbone control not a highlighted opportunity."
